,image,label,class,x_center,y_center,width,height
0,monitoring_system_4.JPG,monitoring_system_4.txt,0,0.180625,0.650833,0.128750,0.058333
1,monitoring_system_1817.JPG,monitoring_system_1817.txt,0,0.747500,0.034167,0.072500,0.031667
2,monitoring_system_1864.JPG,monitoring_system_1864.txt,0,0.714375,0.152500,0.096250,0.041667
3,monitoring_system_2484.JPG,monitoring_system_2484.txt,0,0.632500,0.625833,0.127500,0.058333
4,monitoring_system_2066.JPG,monitoring_system_2066.txt,0,0.885000,0.085000,0.087500,0.040000
5,monitoring_system_1753.JPG,monitoring_system_1753.txt,0,0.086875,0.015833,0.071250,0.025000
6,monitoring_system_2612.JPG,monitoring_system_2612.txt,0,0.720625,0.039167,0.078750,0.035000
7,monitoring_system_2228.JPG,monitoring_system_2228.txt,0,0.810625,0.055833,0.076250,0.038333
8,monitoring_system_440.JPG,monitoring_system_440.txt,0,0.805625,0.021667,0.073750,0.036667
9,parking_lot1_430.JPG,parking_lot1_430.txt,0,0.392310,0.641340,0.122243,0.066176
10,monitoring_system_545.JPG,monitoring_system_545.txt,0,0.615625,0.047500,0.076250,0.038333
11,monitoring_system_2288.JPG,monitoring_system_2288.txt,0,0.930625,0.173333,0.091250,0.040000
12,cropped_parking_lot_38.JPG,cropped_parking_lot_38.txt,0,0.431916,0.594488,0.304375,0.154856
13,parking_lot1_498.JPG,parking_lot1_498.txt,0,0.503983,0.507081,0.134191,0.071895
14,parking_lot1_449.JPG,parking_lot1_449.txt,0,0.227175,0.650054,0.136949,0.096405
15,parking_lot1_252.JPG,parking_lot1_252.txt,0,0.475643,0.626634,0.187806,0.077887
16,parking_lot1_226.JPG,parking_lot1_226.txt,0,0.667892,0.782407,0.128064,0.080065
17,monitoring_system_74.JPG,monitoring_system_74.txt,0,0.414375,0.106667,0.086250,0.040000
18,monitoring_system_1596.JPG,monitoring_system_1596.txt,0,0.815625,0.392500,0.116250,0.051667
19,monitoring_system_1509.JPG,monitoring_system_1509.txt,0,0.945000,0.075833,0.087500,0.031667
20,monitoring_system_1989.JPG,monitoring_system_1989.txt,0,0.218750,0.744167,0.132500,0.061667
21,monitoring_system_2791.JPG,monitoring_system_2791.txt,0,0.064375,0.436667,0.113750,0.046667
22,monitoring_system_1874.JPG,monitoring_system_1874.txt,0,0.459375,0.129167,0.086250,0.041667
23,cropped_parking_lot_211.JPG,cropped_parking_lot_211.txt,0,0.474836,0.502778,0.363239,0.252778
24,monitoring_system_1169.JPG,monitoring_system_1169.txt,0,0.462500,0.734167,0.172500,0.078333
25,monitoring_system_1953.JPG,monitoring_system_1953.txt,0,0.780000,0.150833,0.082500,0.041667
26,monitoring_system_1270.JPG,monitoring_system_1270.txt,0,0.936875,0.092500,0.086250,0.035000
27,monitoring_system_2218.JPG,monitoring_system_2218.txt,0,0.829375,0.053333,0.086250,0.036667
28,monitoring_system_1291.JPG,monitoring_system_1291.txt,0,0.802500,0.060833,0.075000,0.035000
29,monitoring_system_16.JPG,monitoring_system_16.txt,0,0.247500,0.090833,0.090000,0.041667
30,monitoring_system_1273.JPG,monitoring_system_1273.txt,0,0.928125,0.720000,0.133750,0.063333
31,monitoring_system_956.JPG,monitoring_system_956.txt,0,0.462500,0.300000,0.085000,0.050000
32,cropped_parking_lot_220.JPG,cropped_parking_lot_220.txt,0,0.511689,0.701209,0.404977,0.227979
33,monitoring_system_2717.JPG,monitoring_system_2717.txt,0,0.505625,0.111667,0.096250,0.036667
34,parking_lot1_168.JPG,parking_lot1_168.txt,0,0.533701,0.434641,0.107230,0.061002
35,monitoring_system_7.JPG,monitoring_system_7.txt,0,0.793125,0.909167,0.156250,0.061667
36,monitoring_system_2369.JPG,monitoring_system_2369.txt,0,0.734375,0.445833,0.121250,0.058333
37,monitoring_system_1695.JPG,monitoring_system_1695.txt,0,0.315000,0.245833,0.100000,0.041667
38,monitoring_system_1902.JPG,monitoring_system_1902.txt,0,0.626250,0.031667,0.067500,0.033333
39,monitoring_system_818.JPG,monitoring_system_818.txt,0,0.806875,0.043333,0.076250,0.036667
40,monitoring_system_2055.JPG,monitoring_system_2055.txt,0,0.810625,0.840833,0.143750,0.061667
41,monitoring_system_1832.JPG,monitoring_system_1832.txt,0,0.873125,0.073333,0.078750,0.036667
42,monitoring_system_1132.JPG,monitoring_system_1132.txt,0,0.773750,0.026667,0.075000,0.036667
43,parking_lot1_285.JPG,parking_lot1_285.txt,0,0.349418,0.582789,0.082414,0.054466
44,monitoring_system_2794.JPG,monitoring_system_2794.txt,0,0.066875,0.434167,0.113750,0.048333
45,monitoring_system_207.JPG,monitoring_system_207.txt,0,0.726250,0.034167,0.075000,0.035000
46,monitoring_system_249.JPG,monitoring_system_249.txt,0,0.925000,0.485833,0.117500,0.048333
47,parking_lot1_192.JPG,parking_lot1_192.txt,0,0.418045,0.523420,0.142463,0.079521
48,monitoring_system_1188.JPG,monitoring_system_1188.txt,0,0.575000,0.447500,0.120000,0.051667
49,monitoring_system_2542.JPG,monitoring_system_2542.txt,0,0.266250,0.236667,0.097500,0.046667
50,monitoring_system_2517.JPG,monitoring_system_2517.txt,0,0.783125,0.072500,0.081250,0.035000
51,monitoring_system_787.JPG,monitoring_system_787.txt,0,0.223750,0.139167,0.092500,0.031667
52,monitoring_system_2447.JPG,monitoring_system_2447.txt,0,0.273125,0.024167,0.073750,0.031667
53,monitoring_system_683.JPG,monitoring_system_683.txt,0,0.556875,0.156667,0.088750,0.040000
54,monitoring_system_1319.JPG,monitoring_system_1319.txt,0,0.130625,0.491667,0.116250,0.053333
55,monitoring_system_86.JPG,monitoring_system_86.txt,0,0.365625,0.139167,0.071250,0.038333
56,monitoring_system_1656.JPG,monitoring_system_1656.txt,0,0.285000,0.125833,0.092500,0.038333
57,parking_lot1_54.JPG,parking_lot1_54.txt,0,0.473958,0.688725,0.137868,0.084423
58,cropped_parking_lot_112.JPG,cropped_parking_lot_112.txt,0,0.497601,0.812800,0.498972,0.272000
59,parking_lot1_114.JPG,parking_lot1_114.txt,0,0.916820,0.363017,0.038909,0.015795
60,monitoring_system_2162.JPG,monitoring_system_2162.txt,0,0.780000,0.218333,0.107500,0.040000
61,monitoring_system_2826.JPG,monitoring_system_2826.txt,0,0.913750,0.127500,0.090000,0.038333
62,cropped_parking_lot_93.JPG,cropped_parking_lot_93.txt,0,0.470964,0.413934,0.414634,0.180328
63,monitoring_system_2914.JPG,monitoring_system_2914.txt,0,0.616875,0.455833,0.118750,0.051667
64,parking_lot1_198.JPG,parking_lot1_198.txt,0,0.169884,0.562364,0.094669,0.051743
65,monitoring_system_2693.JPG,monitoring_system_2693.txt,0,0.464375,0.202500,0.096250,0.041667
66,monitoring_system_83.JPG,monitoring_system_83.txt,0,0.379375,0.076667,0.086250,0.036667
67,monitoring_system_296.JPG,monitoring_system_296.txt,0,0.143125,0.503333,0.116250,0.056667
68,monitoring_system_1099.JPG,monitoring_system_1099.txt,0,0.565625,0.244167,0.106250,0.038333
69,monitoring_system_2761.JPG,monitoring_system_2761.txt,0,0.260625,0.120833,0.091250,0.045000
70,monitoring_system_2242.JPG,monitoring_system_2242.txt,0,0.866875,0.705000,0.141250,0.076667
71,monitoring_system_1986.JPG,monitoring_system_1986.txt,0,0.245000,0.112500,0.085000,0.041667
72,parking_lot1_250.JPG,parking_lot1_250.txt,0,0.602328,0.497004,0.127451,0.081155
73,parking_lot1_507.JPG,parking_lot1_507.txt,0,0.622702,0.133442,0.094056,0.062092
74,monitoring_system_1017.JPG,monitoring_system_1017.txt,0,0.733125,0.061667,0.081250,0.040000
75,monitoring_system_1231.JPG,monitoring_system_1231.txt,0,0.897500,0.113333,0.090000,0.036667
76,monitoring_system_1065.JPG,monitoring_system_1065.txt,0,0.633750,0.232500,0.100000,0.045000
77,cropped_parking_lot_193.JPG,cropped_parking_lot_193.txt,0,0.492019,0.630012,0.608939,0.105711
78,monitoring_system_1069.JPG,monitoring_system_1069.txt,0,0.816250,0.695833,0.142500,0.065000
79,monitoring_system_1141.JPG,monitoring_system_1141.txt,0,0.882500,0.068333,0.077500,0.040000
